Store ID,Open Date,Close Date,Store Type
10001,5/5/1978,,LFL
10002,7/27/1989,,LFL
10003,4/16/1983,,LFL
10004,12/15/1990,,LFL
10005,1/10/1984,,LFL
10006,5/4/1984,,LFL
10007,3/14/1975,,LFL
10008,3/15/1986,,LFL
10009,12/24/1987,,LFL
10010,12/17/1992,,LFL
10011,11/29/1992,,LFL
10012,10/3/1993,6/22/2019,CLOSED
10013,9/11/1993,,LFL
10014,5/10/1994,,LFL
10015,4/1/1995,,LFL
10016,3/10/1996,,LFL
10017,9/1/1999,,LFL
10018,9/28/1994,,LFL
10019,1/3/1995,,LFL
10020,4/11/1996,,LFL
10021,11/30/1995,,LFL
10022,9/15/1996,,LFL
10023,6/10/1996,,LFL
10024,12/9/1998,,LFL
10025,10/19/1998,,LFL
10026,9/14/2000,,LFL
10027,9/16/1999,,LFL
10028,1/7/2000,,LFL
10029,9/23/2001,,LFL
10030,12/7/1989,9/1/2020,CLOSED
10031,1/9/2001,,LFL
10032,12/21/2000,,LFL
10033,4/15/2001,,LFL
10034,9/19/2001,,LFL
10035,5/15/2001,,LFL
10036,12/10/2001,,LFL
10037,10/28/2002,,LFL
10038,1/15/2004,,LFL
10039,4/13/2005,,LFL
10040,11/25/2003,,LFL
10041,11/28/2005,,LFL
10042,11/1/2005,,LFL
10043,9/28/2005,,LFL
10044,4/27/2006,,LFL
10045,12/17/2007,,LFL
10046,12/1/2008,,LFL
10047,9/17/2006,,LFL
10048,4/1/2006,,LFL
10049,11/28/2006,,LFL
10050,7/3/2006,,LFL
10051,2/7/2007,,LFL
10052,5/31/2007,,LFL
10053,10/7/2006,,LFL
10054,9/24/2006,,LFL
10055,12/7/2007,,LFL
10056,3/4/2007,,LFL
10057,12/31/2007,,LFL
10058,9/1/2019,1/8/2020,CLOSED
10059,9/30/2008,,LFL
10060,2/11/2009,11/2/2020,CLOSED
10061,4/1/2008,,LFL
10062,7/21/2009,,LFL
10063,11/4/2008,,LFL
10064,3/17/2009,,LFL
10065,2/23/2010,,LFL
10066,6/17/2010,,LFL
10067,7/25/2012,,LFL
10068,11/30/2010,,LFL
10069,4/2/2009,,LFL
10070,3/29/2009,,LFL
10071,3/16/2010,,LFL
10072,3/16/2010,,LFL
10073,8/5/2010,,LFL
10074,11/3/2011,,LFL
10075,8/9/2016,,LFL
10076,11/30/2012,,LFL
10077,4/20/2013,,LFL
10078,11/3/2011,,LFL
10079,10/25/2012,,LFL
10080,5/9/2012,,LFL
10081,5/1/2012,,LFL
10082,11/28/2011,,LFL
10083,11/4/2011,,LFL
10084,11/4/2011,,LFL
10085,11/23/2012,,LFL
10086,6/1/2013,,LFL
10087,11/14/2012,,LFL
10088,11/29/2014,,LFL
10089,8/18/2013,,LFL
10090,11/30/2013,,LFL
10091,8/12/2012,,LFL
10092,4/4/2012,,LFL
10093,1/9/2013,,LFL
10094,5/3/2014,,LFL
10095,8/6/2013,,LFL
10096,11/29/2012,,LFL
10097,2/14/2013,,LFL
10098,3/19/2015,,LFL
10099,5/22/2013,,LFL
10100,12/1/2018,,LFL
10101,4/1/2013,,LFL
10102,4/1/2013,,LFL
10103,4/9/2013,,LFL
10104,11/27/2014,,LFL
10105,2/23/2014,,LFL
10106,2/1/2013,,LFL
10107,6/19/2013,,LFL
10108,5/10/2013,,LFL
10109,10/1/2013,,LFL
10110,4/16/2014,,LFL
10111,11/29/2013,,LFL
10112,6/23/2014,,LFL
10113,2/24/2016,,LFL
10114,2/20/2014,,LFL
10115,3/1/2015,,LFL
10116,8/28/2015,,LFL
10117,9/7/2015,,LFL
10118,5/4/2016,,LFL
10119,7/16/2015,,LFL
10120,12/31/2015,,LFL
10121,7/26/2016,,LFL
10122,11/30/2015,,LFL
10123,3/26/2016,,LFL
10124,3/3/2016,,LFL
10125,7/1/2016,,LFL
10126,6/27/2016,,LFL
10127,11/1/2016,,LFL
10128,11/16/2016,,LFL
10129,4/11/2017,,LFL
10130,10/29/2019,,NEW
10131,11/5/2018,,LFL
10132,3/23/2017,,LFL
10133,12/1/2016,,LFL
10134,3/24/2017,,LFL
10135,2/27/2018,,LFL
10136,7/1/2017,,LFL
10137,11/23/2017,,LFL
10138,6/14/2018,,LFL
10139,4/12/2018,,LFL
10140,5/3/2018,,LFL
10141,8/30/2017,,LFL
10142,6/19/2018,,LFL
10143,12/18/2017,,LFL
10144,6/14/2018,,LFL
10145,4/7/2019,,NEW
10146,11/15/2018,,LFL
10147,4/1/2019,,NEW
10148,6/3/2018,,LFL
10149,2/14/2019,,NEW
10150,3/1/2019,,NEW
10151,11/4/2019,,NEW
10152,10/24/2019,,NEW
10153,3/5/2019,,NEW
10154,8/27/2019,,NEW
10155,1/14/2019,,LFL
10156,1/3/2019,,LFL
10157,10/10/2019,,NEW
10158,9/24/2019,,NEW
10159,11/28/2019,,NEW
10160,10/22/2019,,NEW
10161,12/25/2019,,NEW
10162,12/27/2019,,NEW
10163,12/28/2019,,NEW
10164,12/28/2019,,NEW
10165,12/27/2019,,NEW
10166,10/22/2019,,NEW
10167,2/11/2020,,NEW
10168,1/30/2020,,LFL
10169,2/10/2020,,NEW
10170,12/25/2019,,NEW
10171,7/5/2020,,NEW
10172,12/27/2019,,NEW
10173,05/01/2021,,NEW
10174,07/01/2021,,NEW
10175,06/01/2021,,NEW
10176,09/01/2021,,NEW
10177,04/14/2021,,NEW
10178,05/15/2021,,NEW
10179,07/15/2021,,NEW
10180,10/15/2021,,NEW
10181,12/01/2021,,NEW
10182,12/31/2021,,NEW
