Store ID,Open Date,Close Date,Store Type,LFL Status
10001,1978-05-05,,LFL,LFL
10002,1989-07-27,,LFL,LFL
10003,1983-04-16,,LFL,LFL
10004,1990-12-15,,LFL,LFL
10005,1984-01-10,,LFL,LFL
10006,1984-05-04,,LFL,LFL
10007,1975-03-14,,LFL,LFL
10008,1986-03-15,,LFL,LFL
10009,1987-12-24,,LFL,LFL
10010,1992-12-17,,LFL,LFL
10011,1992-11-29,,LFL,LFL
10012,1993-10-03,6/22/2019,CLOSED,LFL
10013,1993-09-11,,LFL,LFL
10014,1994-05-10,,LFL,LFL
10015,1995-04-01,,LFL,LFL
10016,1996-03-10,,LFL,LFL
10017,1999-09-01,,LFL,LFL
10018,1994-09-28,,LFL,LFL
10019,1995-01-03,,LFL,LFL
10020,1996-04-11,,LFL,LFL
10021,1995-11-30,,LFL,LFL
10022,1996-09-15,,LFL,LFL
10023,1996-06-10,,LFL,LFL
10024,1998-12-09,,LFL,LFL
10025,1998-10-19,,LFL,LFL
10026,2000-09-14,,LFL,LFL
10027,1999-09-16,,LFL,LFL
10028,2000-01-07,,LFL,LFL
10029,2001-09-23,,LFL,LFL
10030,1989-12-07,9/1/2020,CLOSED,LFL
10031,2001-01-09,,LFL,LFL
10032,2000-12-21,,LFL,LFL
10033,2001-04-15,,LFL,LFL
10034,2001-09-19,,LFL,LFL
10035,2001-05-15,,LFL,LFL
10036,2001-12-10,,LFL,LFL
10037,2002-10-28,,LFL,LFL
10038,2004-01-15,,LFL,LFL
10039,2005-04-13,,LFL,LFL
10040,2003-11-25,,LFL,LFL
10041,2005-11-28,,LFL,LFL
10042,2005-11-01,,LFL,LFL
10043,2005-09-28,,LFL,LFL
10044,2006-04-27,,LFL,LFL
10045,2007-12-17,,LFL,LFL
10046,2008-12-01,,LFL,LFL
10047,2006-09-17,,LFL,LFL
10048,2006-04-01,,LFL,LFL
10049,2006-11-28,,LFL,LFL
10050,2006-07-03,,LFL,LFL
10051,2007-02-07,,LFL,LFL
10052,2007-05-31,,LFL,LFL
10053,2006-10-07,,LFL,LFL
10054,2006-09-24,,LFL,LFL
10055,2007-12-07,,LFL,LFL
10056,2007-03-04,,LFL,LFL
10057,2007-12-31,,LFL,LFL
10058,2019-09-01,1/8/2020,CLOSED,LFL
10059,2008-09-30,,LFL,LFL
10060,2009-02-11,11/2/2020,CLOSED,LFL
10061,2008-04-01,,LFL,LFL
10062,2009-07-21,,LFL,LFL
10063,2008-11-04,,LFL,LFL
10064,2009-03-17,,LFL,LFL
10065,2010-02-23,,LFL,LFL
10066,2010-06-17,,LFL,LFL
10067,2012-07-25,,LFL,LFL
10068,2010-11-30,,LFL,LFL
10069,2009-04-02,,LFL,LFL
10070,2009-03-29,,LFL,LFL
10071,2010-03-16,,LFL,LFL
10072,2010-03-16,,LFL,LFL
10073,2010-08-05,,LFL,LFL
10074,2011-11-03,,LFL,LFL
10075,2016-08-09,,LFL,LFL
10076,2012-11-30,,LFL,LFL
10077,2013-04-20,,LFL,LFL
10078,2011-11-03,,LFL,LFL
10079,2012-10-25,,LFL,LFL
10080,2012-05-09,,LFL,LFL
10081,2012-05-01,,LFL,LFL
10082,2011-11-28,,LFL,LFL
10083,2011-11-04,,LFL,LFL
10084,2011-11-04,,LFL,LFL
10085,2012-11-23,,LFL,LFL
10086,2013-06-01,,LFL,LFL
10087,2012-11-14,,LFL,LFL
10088,2014-11-29,,LFL,LFL
10089,2013-08-18,,LFL,LFL
10090,2013-11-30,,LFL,LFL
10091,2012-08-12,,LFL,LFL
10092,2012-04-04,,LFL,LFL
10093,2013-01-09,,LFL,LFL
10094,2014-05-03,,LFL,LFL
10095,2013-08-06,,LFL,LFL
10096,2012-11-29,,LFL,LFL
10097,2013-02-14,,LFL,LFL
10098,2015-03-19,,LFL,LFL
10099,2013-05-22,,LFL,LFL
10100,2018-12-01,,LFL,New Store
10101,2013-04-01,,LFL,LFL
10102,2013-04-01,,LFL,LFL
10103,2013-04-09,,LFL,LFL
10104,2014-11-27,,LFL,LFL
10105,2014-02-23,,LFL,LFL
10106,2013-02-01,,LFL,LFL
10107,2013-06-19,,LFL,LFL
10108,2013-05-10,,LFL,LFL
10109,2013-10-01,,LFL,LFL
10110,2014-04-16,,LFL,LFL
10111,2013-11-29,,LFL,LFL
10112,2014-06-23,,LFL,LFL
10113,2016-02-24,,LFL,LFL
10114,2014-02-20,,LFL,LFL
10115,2015-03-01,,LFL,LFL
10116,2015-08-28,,LFL,LFL
10117,2015-09-07,,LFL,LFL
10118,2016-05-04,,LFL,LFL
10119,2015-07-16,,LFL,LFL
10120,2015-12-31,,LFL,LFL
10121,2016-07-26,,LFL,LFL
10122,2015-11-30,,LFL,LFL
10123,2016-03-26,,LFL,LFL
10124,2016-03-03,,LFL,LFL
10125,2016-07-01,,LFL,LFL
10126,2016-06-27,,LFL,LFL
10127,2016-11-01,,LFL,LFL
10128,2016-11-16,,LFL,LFL
10129,2017-04-11,,LFL,LFL
10130,2019-10-29,,NEW,LFL
10131,2018-11-05,,LFL,New Store
10132,2017-03-23,,LFL,LFL
10133,2016-12-01,,LFL,LFL
10134,2017-03-24,,LFL,LFL
10135,2018-02-27,,LFL,New Store
10136,2017-07-01,,LFL,LFL
10137,2017-11-23,,LFL,LFL
10138,2018-06-14,,LFL,New Store
10139,2018-04-12,,LFL,New Store
10140,2018-05-03,,LFL,New Store
10141,2017-08-30,,LFL,LFL
10142,2018-06-19,,LFL,New Store
10143,2017-12-18,,LFL,LFL
10144,2018-06-14,,LFL,New Store
10145,2019-04-07,,NEW,LFL
10146,2018-11-15,,LFL,New Store
10147,2019-04-01,,NEW,LFL
10148,2018-06-03,,LFL,New Store
10149,2019-02-14,,NEW,LFL
10150,2019-03-01,,NEW,LFL
10151,2019-11-04,,NEW,LFL
10152,2019-10-24,,NEW,LFL
10153,2019-03-05,,NEW,LFL
10154,2019-08-27,,NEW,LFL
10155,2019-01-14,,LFL,LFL
10156,2019-01-03,,LFL,LFL
10157,2019-10-10,,NEW,LFL
10158,2019-09-24,,NEW,LFL
10159,2019-11-28,,NEW,LFL
10160,2019-10-22,,NEW,LFL
10161,2019-12-25,,NEW,LFL
10162,2019-12-27,,NEW,LFL
10163,2019-12-28,,NEW,LFL
10164,2019-12-28,,NEW,LFL
10165,2019-12-27,,NEW,LFL
10166,2019-10-22,,NEW,LFL
10167,2020-02-11,,NEW,LFL
10168,2020-01-30,,LFL,LFL
10169,2020-02-10,,NEW,LFL
10170,2019-12-25,,NEW,LFL
10171,2020-07-05,,NEW,LFL
10172,2019-12-27,,NEW,LFL
10173,2021-05-01,,NEW,New Store
10174,2021-07-01,,NEW,New Store
10175,2021-06-01,,NEW,New Store
10176,2021-09-01,,NEW,New Store
10177,2021-04-14,,NEW,New Store
10178,2021-05-15,,NEW,New Store
10179,2021-07-15,,NEW,New Store
10180,2021-10-15,,NEW,New Store
10181,2021-12-01,,NEW,New Store
10182,2021-12-31,,NEW,New Store
